,pnt_lon,pnt_lat,d_20160629,d_20160723,d_20160816,d_20160909,d_20161003,d_20161027,d_20161120,d_20161214,d_20170107,d_20170131,d_20170224,d_20170320,d_20170413,d_20170507,d_20170531,d_20170624,d_20170718,d_20170811,d_20170904,d_20170928,d_20171115,d_20171209,d_20180102,d_20180126,d_20180219,d_20180315,d_20180408,d_20180502,d_20180526,d_20180619,d_20180713,d_20180806,d_20180830,d_20180923,d_20181017,d_20181110,d_20181204,d_20181228,d_20190121,d_20190214,d_20190310,d_20190403,d_20190427,d_20190521,d_20190614,d_20190708,d_20190801,d_20190825,d_20190918,d_20191012
1200,6.060701014141097,50.86795764277112,0.010762452038095857,0.010126914361515636,0.005941949500085497,0.00811773618714397,0.006128700444691148,0.012196062679582377,0.007783099677979416,0.007703435244183355,0.0048353851516663,0.0067779158444449,0.005833600965861412,0.007728868057690914,0.007482084824931907,0.008475102545268705,0.01078220071799724,0.010159816559389292,0.009458619179543905,0.005634626159503107,0.008549995818248994,0.007752587584282106,0.013022992030876573,0.00904706671886958,0.008366508943049161,0.011501889583209638,0.003394714156686007,0.011026927158036508,0.0050523498401313476,0.007444117309559082,0.007953808636616058,0.006335642866723208,0.0008794573330312128,0.010513127663974949,0.0075832510591898935,0.008817855123073993,-0.00054206332719909,-0.0042427131708192255,0.0010624459173945737,-0.00037914045872696964,0.0017773886327101716,-0.0006874123469507634,-0.0019379581939870587,-1.1305432247510533e-05,-0.00227918010035385,0.0007056908445491558,0.0006947968965527957,-0.0038717436918922453,-0.0015107450182591641,-0.0013181774611546338,0.002630386294026348,0.002886241817493545
1201,6.060683128928924,50.86795567470193,0.0039669258769756644,0.004897975022029546,0.0011053780981354524,0.0004283145688615439,0.001746269959741511,0.0006350456066755621,0.003129198494613883,0.0012503118905544679,0.0056088399397972895,0.003248645820018189,0.0011203576202890256,-0.0008093117951357692,0.003096209871442005,0.002694133166043561,0.003629028254416021,0.0024774080742239104,0.0051196361804902,0.00025185478159117365,-0.00013467321419799078,0.0016950304826774205,0.0009019473102906744,0.00031165247054097347,-0.0011358985316636356,-0.0014827006967290718,-0.00032439636312452417,-0.0011673231945775716,-0.0018707410528465609,0.0021007111409743033,0.0028833451780970755,-0.0003425899410794072,-0.0031314488687195826,0.004254052804087298,0.002523229797489962,-0.0011476514574112699,-0.007007840312328385,-0.005004209832470486,-0.005241122189648413,-0.005253521850885777,-0.0069402183495033964,-0.012364566305817296,-0.008194438340619425,-0.0032501398732868213,-0.007177250716925641,-0.003779176932788046,-0.002110338191543585,-0.0025918015260992127,-0.0008691278785216312,-0.004217688020835728,-0.0011571514618750488,-0.005889779172872493
1202,6.060874974884273,50.867977483772364,-0.002185515866729033,-0.002223460897730286,0.004086749306202175,0.0006522711358746068,-0.0043129186037031,-0.002805977862524818,0.0011954194432269832,0.003440273128494265,0.003049711124451863,-0.00029539708314841787,-0.0051769429469471035,0.0018755191897377856,0.0024740588503771826,0.0032299962876193287,0.001688536841515795,-0.0037451401263877936,-0.002833155370298613,-0.008613715462306321,0.004379104761705503,-0.004223618017743581,-0.00455186725118167,-0.0039876695733433816,-0.006323667505156084,-0.008198260767939364,-0.003156666464175153,-0.0017805814917250234,-0.0022323166346713105,-0.0023254879237044677,-0.001447263281764769,-0.008539829902445872,-0.010531978215506695,-0.0038444226143114304,-0.00418136462704337,-0.00910276574305528,-0.0023877963553650674,-0.0014695442937177918,-0.007190991528925569,-0.0033344179908787104,-0.00047053182967751067,-0.004267795234268218,-0.01609782614535384,-0.004258934142142421,-0.006230224437828218,-0.0032036776064571604,-0.00721477663277128,-0.009827114180318902,-0.006712534273358674,-0.020574497020494548,-0.007345548616199195,-0.006345196498492467
1203,6.059744991228008,50.86787074497777,-0.002854958093226915,-0.0026619210488947405,-0.0033030665409751,-0.0035936864686187467,-0.002513218022979569,-0.0025145615996467344,-0.003303066650918145,0.004937809200845428,-0.012924323135723531,-0.011330622020725665,-0.016669581831548763,-0.009098251834961331,-0.0062139126592854425,-0.003843311707090944,-0.0027517571250633946,-0.0030778314196195163,-0.004933870208345514,-0.0033103746552992077,-0.003651621475970574,-0.0058349404362165215,-0.004807041434092112,-0.0068748304546577465,-0.006710403281612606,-0.008757145460733645,-0.009444055688714368,-0.005541053351773634,-0.005813490436971817,-0.003242370260111495,-0.0008214467142968846,-0.004536740859794962,-0.009567301066177116,-0.003402908762169755,-0.0017024780939969325,-0.0062466094956502285,-0.009102894062352441,-0.01633990918285275,-0.019718281572258318,-0.019301758951115862,-0.012255382848667878,-0.01598312425420893,-0.013697082510714314,-0.011093714840948931,-0.015643528184588366,-0.00986399188864832,-0.0123562908703325,-0.012097420103897371,-0.009191425125381441,-0.015266891838945296,-0.009885230286875928,-0.012602177431185729
1204,6.059792034470368,50.867876138263284,-0.0025197957431002593,-0.002384217203867573,-0.003948376986742289,-0.004154692885788267,-0.0022415280144826915,-0.0019341482021559594,-0.004991074611159731,0.010090515691177821,-0.012389907513763204,-0.0033183122988386586,0.0018296953533031614,-0.005653328447531207,-0.0051254359858382325,-0.004020326038980919,-0.0017219709480876938,-0.004114033750410777,-0.0036503497593591717,-0.0014833243426014785,-0.004231278975150813,-0.0050689558827956074,-0.002201515154225111,0.0006306563289950258,-0.0022769687601141213,-0.0033907111845748977,-0.004577484050389639,0.0012223441179907354,-0.005507664845035023,-0.004620555705535159,-0.006650202125737575,-0.006436162128652767,-0.0105134706467234,-0.003401437844274021,-0.0020583523440832283,0.001422334814258883,-0.005614292980042286,-0.008031173433889403,-0.008180671078508417,-0.009128862268744195,-0.00768907613559871,-0.010329249032505448,-0.006225203289018001,-0.007880742963452463,-0.009659082701208757,-0.004924478859886427,-0.008290588260939851,-0.0078710690776955,-0.005649010822320066,-0.009882971133299643,-0.004729133252862506,-0.007633794314348444
1205,6.059764812416291,50.8678731114433,0.0074451953119830045,-0.0001802333262907639,-0.003281813069677304,-0.00519680614158538,0.004609492326511307,0.0014404585784316725,0.0044544253565523785,0.005545742723618042,0.002589180686693007,0.001535235865824878,0.0039054748731714656,-0.003543549272775214,-0.0038270823909089,-0.0018654760836430587,0.0005789151043817237,-0.0028008012609874976,-0.002627635349526965,0.00035561529176696333,-0.0011394373288867012,-0.005037090085539522,-0.0015316062510011214,0.0006021935890361152,-0.0021391695302741677,-0.0022890667801609968,-0.0020236832301009804,0.002265960936926241,-0.007937603143250522,-0.006224502468325809,-0.007617188630599305,-0.013302945278528398,-0.008752528441614043,0.004038297215639734,0.00495992067791969,0.00487166750634192,-0.007652136535879734,-0.008485387364101859,-0.007011998707893949,-0.004958186442681128,-0.0032527785120777834,-0.004543943646515154,-0.002765724640430281,-0.005928212697043586,-0.0012239071194690425,-0.003437990382731975,-0.005151183710630836,-0.00590356701051698,-0.002459660396850471,-0.00781468156620745,-0.004224172313533618,-0.00711338245689258
1206,6.059980525068327,50.86789768763285,0.0028095119102584712,0.001698454280297197,0.002425859659123125,0.007155724634186638,-0.0015299935015940958,-0.001304436474500318,-0.0009255402582756724,-0.0077489834550412435,-0.004532632786515443,-0.005674580543094756,-0.005669138656620461,-0.0015256764966002302,-0.00468653046116261,-0.007852619764961436,0.00012575622707572395,-0.004714996634070304,-0.006845201679252632,-0.004573379656275126,-0.0004871771317099113,-0.006715103095932839,-0.0052094297834167965,-0.006920236156020553,-0.008830780101105561,-0.007697854582411725,-0.006144484256474099,-0.014783279462741246,-0.007415047327290461,-0.0046483105944644405,-0.005563562632763883,-0.005074617122649678,-0.00859210579567913,-0.0017598915001618446,-0.0035446544341864467,-0.007186027999538644,-0.0015110342596965664,-0.0027926695847054856,-0.008586269202786392,-0.004744526954049068,-0.006536017161517108,-0.004694610626481058,-0.0012530081234923586,-0.0016220099558317974,-0.008157081827267269,-0.0042815753737036255,-0.006943042278201303,-0.005977580850293804,-0.006004920847626685,-0.00907578389553306,-0.005070936933189725,-0.0056401927526895795
1207,6.059789106474836,50.86787604461367,-0.008411298028774633,0.00012176838134137339,-0.0016676787197887086,-0.0013935757626606158,0.004561033353373678,-0.008784583670391335,-0.006871883908659301,-0.003391681062871339,0.0016015450563080867,-0.0018696275409563875,0.001984718934989127,0.00143389078172717,-0.0012612422460736294,0.0019181573758566388,-0.0003966429532051823,0.0015793754643452452,-0.0003011834320185537,-0.01094507983355179,-0.0007983000787416872,0.00015929589407187082,-0.0017493362703059744,-0.0035835862898413243,-0.0038902268181977436,-0.0041467582365333775,-0.00015485458811036234,-0.001081543919937055,-0.001197802443109498,0.005897673983299678,-0.0038010956047204174,0.002419151603874685,0.007243942893511191,0.006790588622931736,0.0015368623196531743,0.001440778262296676,0.0024781126002145337,0.014001349159256441,0.0009686035768820868,0.004085816627532305,-0.002632276552559793,0.002666981952837455,-0.008529796801559741,-0.0005075916610924955,-0.003229824805531301,0.004209185201863544,0.00862744472555148,-0.0036494765198539173,0.007345020048531128,-0.004013266361859176,0.006188852618431171,0.002687232975076417
1208,6.060369194841945,50.86792040533732,-0.003324478918544412,-0.0121590316162733,-0.0041610978037416495,-0.012652714975056436,-0.010649783936539552,-0.010327268316514822,-0.0036232807195665626,-0.005269586971651627,-0.008878667552293676,-0.011589233678078488,-0.0018329378955032746,0.0028324957937735395,-0.004147609411447528,-0.002760046328214563,-0.007472090709354153,-0.005324371178844907,-0.007544573351081618,-0.0073308081830803125,-0.01024974314964859,-0.008391669651750729,-0.014315106685606574,-0.010118590173468554,-0.011003094489699862,-0.00869150465542975,-0.009939532518873109,-0.010456793462791096,-0.010414835261897694,-0.013711706139546169,-0.011574059016108569,-0.013379386819185692,-0.017044885010506324,-0.011729108365664605,-0.00153264777138986,-0.008179172529870852,-0.013302741535876938,-0.015297972111209538,-0.01209821877917545,-0.009153886324086357,-0.006471588519678518,-0.006612907878924139,-0.014186946982787184,-0.012972741083250708,-0.01406600425794971,-0.008021322479857812,-0.009526512242403942,-0.0012364567160609175,-0.010432374256125415,-0.009306962740714192,-0.005369151521222935,-0.011026672935732416
1209,6.060410036264818,50.86792726301272,-0.00309922717777045,-0.01401688255703396,-0.002864813874064324,-0.0133513718662081,-0.01091678125158127,-0.011431732056365737,-0.002764344572418653,-0.004982422689337237,-0.01025356816197793,-0.009444704404359149,0.0015819424116874606,0.002703244959538114,-0.005035231218546754,-0.0019001732668005359,-0.007970287133071947,-0.0050588129112581785,-0.007513411881111941,-0.007418108337779167,-0.010907199572438724,-0.008338952635865114,-0.014560842754692112,-0.009994549208887885,-0.012038003874452323,-0.007996481986340712,-0.009794844676251994,-0.01085013226442181,-0.009820501601133144,-0.015110773571514585,-0.012348549714287341,-0.014069698860544584,-0.018204883480179,-0.012179767263971042,6.354137886170661e-05,-0.006638231292354699,-0.014069888395130244,-0.015282503806250682,-0.01172707664489402,-0.008793181237592197,-0.00476305070076443,-0.006633436180044396,-0.013886360843817412,-0.013937374529991643,-0.012867719110212394,-0.00883587174934305,-0.010469346932115979,-0.0011261107886111346,-0.011300878509709485,-0.009613528988555962,-0.005526378930185806,-0.010802109512582208
