,pnt_id,pnt_lat,pnt_lon,pnt_line,pnt_pixel,pnt_height,pnt_demheight,pnt_geoid,pnt_incidangle,pnt_enscoh,pnt_ampconsist,pnt_quality,pnt_linear,pnt_quadratic,pnt_seasonal_cos,pnt_seasonal_sin,pnt_ds_nr_neighbors,d_20150611,d_20150729,d_20150822,d_20150915,d_20151009,d_20151102,d_20151126,d_20151220,d_20160113,d_20160206,d_20160301,d_20160325,d_20160418,d_20160512,d_20160605,d_20160629,d_20160723,d_20160816,d_20160909,d_20161003,d_20161027,d_20161120,d_20161214,d_20170107,d_20170131,d_20170224,d_20170320,d_20170413,d_20170507,d_20170531,d_20170624,d_20170718,d_20170811,d_20170904,d_20170928,d_20171115,d_20171209,d_20180102,d_20180126,d_20180219,d_20180315,d_20180408,d_20180502,d_20180526,d_20180619,d_20180713,d_20180806,d_20180830,d_20180923,d_20181017,d_20181110,d_20181204,d_20181228,d_20190121,d_20190214,d_20190310,d_20190403,d_20190427,d_20190521,d_20190614,d_20190708,d_20190801,d_20190825,d_20190918,d_20191012
876,L00022443P00021630,50.86741434734,6.059940249630821,22443,21630,196.55366352173425,191.04842,46.240981363652104,37.5451973835254,0.7254854026046562,0.562177836894989,0.6921914470709107,-0.0006400363664075586,-0.00016251376092697384,0.00036773131616932596,0.00013688499899250863,14,0.0,-0.00217606592271925,0.0029727145750557413,-0.0003655898125855026,-0.0015393313838433704,-0.004076680108435788,-0.0018775434984362304,-0.003391726980988491,-0.001571597556303793,-0.0010344383456609098,-0.0008085634773977603,-0.00022825663278525391,0.001056677230746489,-0.00629959950792524,-0.008643042374394394,-0.0021287797218233987,-0.0020974912989833805,0.00042493617511449685,-0.003535658754086986,-0.00138266186251136,-0.0011863039809525526,-0.0009518533443393787,-0.0059655988264932115,0.0040556387054095245,-0.005854219159651735,-0.002390500794512135,0.008353667669938473,-0.0016240647784915765,0.0023653257317508385,-0.0007353958205728358,-0.0017298600860126965,-0.004895756624037156,-3.1805417900042246e-05,0.00045959212462780155,-0.00013082795751915075,-0.0023647434001327857,-0.004688779631793893,-0.005531197481382069,-0.0042673765575158935,-0.0045002020343710685,-0.016407777593150832,0.001329101963657276,0.0023183642295118594,-0.0025236285000887373,-0.0013583354251758006,-0.00967035788077902,-0.0038456603555532187,-0.004997161992177376,-0.0015668563466774462,-0.004119104570307001,0.00051725295144893,0.003072958039891392,0.008988560143700258,-0.009603921632480444,-0.0018646096862746718,-0.0006735874400236858,-0.003341394421235479,-0.007078308053074199,0.006987688243798682,-0.007614732725472728,-0.010669926325055229,-0.0042780731736995255,-0.00729874160571585,-0.002165023637321056,-0.006853758384008808
877,L00022443P00021631,50.867400582331314,6.0598451235071575,22443,21631,186.62522593578828,191.48901,46.24095306188149,37.54436785390564,0.8125092252025924,0.5683078169822693,0.8142262871247079,-0.00043116388794545537,-0.0003752511031353694,0.0009021926973943373,0.00015234503909336008,20,0.0,-0.0008769835317178137,-0.00043298082371075343,-0.0017926693970277145,-0.0029970030140995052,-0.003653076561393257,0.0004058974748153844,-0.00424092203280137,0.0004271214155093466,-0.000554763649490959,0.0005979217765413188,-0.0011766368257854348,0.0008145801863569759,-0.005829205435220558,0.0011126878231758669,-0.0022416139714285547,-0.0005201265829542477,-0.00024819340131199445,-0.0031536977102795327,-0.001722457257479532,-0.003591172474423899,-0.0010705979903867721,-0.0009396663075378315,0.0053275605594725346,-0.0050269272052764465,-0.0021078704256467856,-0.003438297945219084,-0.002986668053583966,-0.0019066526353345538,-0.00045541199595041895,-0.001567609253218414,-0.004816908849461589,0.003279432511429627,0.005638002125649489,-0.002629109528994609,-0.0010013828208919931,-0.0019969334453606167,-0.0022698892100205554,-0.0045125044120439385,-0.0031580502558027,0.000885737399926379,0.0014603351005396188,1.1183379545411172e-05,-0.0006669792190585548,-0.0015908070536559355,-0.005173841777875565,-0.003247810477448629,-0.0019353150209401435,-0.001425655784523125,-0.0045445333130916645,-0.00025466358298099337,0.0005343388187811561,0.0004142909348536584,0.00832042733306676,-0.002115428535566512,0.0008720130672479847,0.0015157817384008516,-0.004410038188266729,-0.01200842810642892,-0.004610781491777854,-0.009668277333186672,-0.0038072846447547884,-0.006352230860745618,-0.0021984870313816523,-0.00422910739194237
878,L00022443P00021632,50.867414254378694,6.059987373420852,22443,21632,190.99760908795403,191.75305,46.241020881106074,37.54508241381605,0.7175283770799482,0.4201796054840088,0.6924717266116214,-0.00044846948922069277,0.00025238755890530905,0.00029692423701517816,-0.0002099411229836734,13,0.0,0.00034637147779152823,-0.0005800310766306732,-0.002034329856362769,-0.002709682518169837,-0.004248396489468935,-0.002350006532516566,-0.0033390658613799227,-0.0007796549688653343,-0.0036646918412210788,0.0011820604400727078,-0.00010060167346257974,-0.0020575273297430622,-0.007157518646742959,0.0001315989862970694,-0.0010736875118942985,-0.002964543944994067,-0.002083474749693343,-0.002786181695815216,-0.003303565065565241,-0.008009300365830764,-0.0037369932013916686,-0.0035220814447125288,0.0022862672272464532,-0.002969102125100345,-0.0018140516123611094,-0.017003788506280308,-0.003608086840160356,-0.009138029775340948,-0.004183273645851751,-0.008592816596197173,-0.003868447785395469,0.0016191970814891821,0.0058555250600744214,0.0006841744425467603,-0.0028108880976027237,-0.003103996860315408,-0.003573934986785464,-0.005045005449144263,-0.004178252944425933,-0.00801068826206828,0.0012737192580015153,-0.005210039980116446,-0.0034785981096122185,-0.0021048746897545955,-0.007977125658598297,-0.004178080233444614,-0.004535994607338329,-0.0031627949980401232,-0.005271046512779445,-0.003602517374292053,0.006276551662634989,-0.0015500760361640696,-0.013847195691128229,-0.003048538368957957,0.002588380282811166,0.0021248906100587387,-0.0030896262500844087,0.007041803723669486,-0.008238646480326359,-0.011329405771108378,-0.0041183209817157816,-0.009642882953969605,-0.002388344053335919,-0.004107843463982552
879,L00022443P00021633,50.86745135373477,6.060023001787284,22443,21633,188.81648450218984,191.70354,46.24091365364546,37.54508937549573,0.8590560801312521,0.6427917778491974,0.8322192711399398,-0.0014201300727773119,1.0746173432291154e-05,0.0015457226803874224,0.0006808672045829269,1,0.0,-0.002346523720504487,-0.0008083621127436344,0.0025395212759941497,0.0017525790950923324,0.0026050542433215525,0.001451473485383992,-0.003867931213515752,0.002527621193324895,0.00019097733480586,-0.00012151193383820226,0.002374477654427113,0.001428858525849214,-0.0065951852847922245,-0.0012465128176946635,-0.0022024275945770463,-0.0023554220816589663,-0.002829783073555665,-0.0037638799739591663,-0.0020750159807940574,-0.002166575415323465,-0.0008960447455166301,-0.0007354966872730324,-0.0014337612694250196,-0.005836954341771757,0.0020164299297948467,0.002224986433227807,0.001489609307970677,0.0021943504951712285,-0.0017888328726397922,-0.0040759850181538,-0.005321582093896468,-0.0024994131518805253,-0.002729770386857268,-0.004109293088837718,-6.015380353453392e-06,-0.0025264291384678146,-0.004495719566142561,-0.002431213104781729,-0.002293733062460341,0.0010182239793265328,-0.0018580405241528054,-0.006365216266492111,0.0018097854458266074,-0.006801048838760701,-0.012152335041876877,-0.0065126800604080395,-0.005639343527642198,-0.00036768681837988035,-0.0021959971563166323,-0.002876360801303816,-0.003510044019740893,-0.0018954645786122477,-0.0021960734465098788,-0.0031607515247121768,-0.0014271590359933046,-0.0068412889708906474,-0.008503856231343239,0.0009870720064788898,-0.005166964910781206,-0.01381389101216972,-0.00881035169425105,-0.007251295266662494,-0.006856232218466699,-0.0014115634830994025
880,L00022443P00021634,50.86745194861787,6.060027723160652,22443,21634,185.71899008358997,191.65402,46.2409153844893,37.54499739602471,0.8014589104094679,0.5541997253894806,0.7939374350654079,-0.0004827901501768246,0.0002762597120723584,-0.0009085558940899773,0.0004068380628016092,1,0.0,-0.0023766624693509052,-0.0031527205834616452,0.00025076169746219456,-0.002530866459302505,-0.0067088308403551134,-0.003249928481810833,-0.0038130052915806303,-0.005506234018176646,-0.0005251049563946261,-0.004123258586094869,-0.0017877049982667793,-0.00044580784134615295,-0.004379873309858193,-0.0021371350741547176,-0.0020350559387133237,-0.0050087437285133,-0.002625752744416285,-0.006251521070515871,-0.003206185676537313,-0.006351680161451042,-0.003571541160406251,-0.003272527549829481,-0.0036632438291656654,-0.006393064119997516,-0.004135817272117436,-0.005961301300183594,-0.003085236520602684,-0.002004697184709027,-0.004047438177007358,-0.002588559930242275,-0.007534715067369398,-0.002696541209573051,-0.0023031634935073322,-0.0019518232237050114,-0.006087669894675271,-0.010699735657832036,-0.006465350954848124,-0.002079642363492429,0.0032936676825340945,0.0010957793809218438,0.0030514172771193065,-0.0046592576627697705,-0.005564610463082606,-0.0034054159918153557,-0.0078231184200324,-0.0055568284432756035,-0.006746328042501347,-0.00048528123456042724,-0.005837102748597782,-0.006597845869454619,-0.008843536293364419,-0.006090155840091809,-0.0043090388975635255,-0.0046269882533652796,-0.0112645113489142,-0.00943978211377885,-0.013254413228011323,0.000696888337352331,-0.0008666710015125769,0.002440754822365807,-0.0018870391663368066,-0.006817306704609733,-0.0005421375446703608,-0.0017738168571155113
881,L00022443P00021635,50.867465866011536,6.060149949910482,22443,21635,189.08121756341683,191.6045,46.2409656656636,37.54560285778358,0.8238136376118781,0.4792169332504273,0.8027860976033889,-0.0006293558415907541,4.110068131922731e-05,-0.0010234201258534816,-0.0017107294688400484,1,0.0,0.0039070544875930025,-0.0049053735831547365,0.0005382869401289258,0.0011287446161458675,0.003535914547515843,-0.0017616656921818003,-0.0013323517070255465,-0.0014775707027416235,-0.0006892578450337128,0.0004798993799820072,-0.0008528215328654128,-0.0006188060391509944,-0.0010218336681930434,-0.003738236579561461,-0.0019204618773917613,-0.0018860637470633872,-0.0014466442263813487,0.0015245505847401965,4.087041523845506e-05,-0.002943333573907416,-0.0011999648617185214,-0.002502104520789525,-0.003620643316280528,-0.003744322067629817,-0.0032064452514128324,-0.004295688374790592,-0.0020409204860029587,-0.001554735370881827,-6.161198788688223e-05,-0.0049669629680730645,-0.0005662352722973609,0.0007986997209696347,0.0018176546978866926,-0.0006633400986603933,-0.002463905545469981,-0.0024025264025823788,-0.00328876997892014,-0.00417689250324417,-0.0035777250805931796,-0.0037348063694008678,-0.008892315346916717,-7.369213935864768e-05,-0.005191085711012642,-0.0010736064973675713,-0.005087714644705693,0.0001997897006934792,0.00029585347132900187,0.006779220303755616,0.0005603430452887354,0.00532419260804676,-0.0061405269550756725,-0.0034809616789184725,-0.012491342205560209,-0.0019001981808522074,-0.013373054834460416,-0.006216419377340108,0.0051443582910050455,-0.0028099526664708088,-0.0004292783379656381,-0.003305488203249567,0.001808970176585144,-0.0050899117716408935,0.00012563784673430466,-0.004756848427350762
882,L00022443P00021636,50.867473767741544,6.060219118679429,22443,21636,189.52668057797953,191.555,46.240994027601,37.54589342777349,0.8291814976174009,0.5399977266788483,0.8191603572730727,-0.0007533229665503403,0.0003615892090118541,0.0007086753537783477,-0.0007553597776936684,1,0.0,-0.004566221367294239,-0.005007657813425625,-0.004021371150090475,0.00026951522078835457,-0.0012413286418552325,-0.0026280891519733546,-0.004150430125470983,-0.004638162215507499,-0.004128553208042857,-0.00036035941424474667,-1.2107731429042516e-05,-0.003916573086511911,-0.005501002956068924,-0.009219094799178843,-0.007997745524133106,-0.0034427726257184803,-0.005356519350872082,-0.0013268716311361894,-0.0031002032938770466,-0.006585465786272754,-0.0035069352237953,-0.004974901486295505,-0.005099982155401206,-0.0070335337576500154,-0.0019774555552811574,-0.0049854739977651,-0.0037757601519813593,-0.0041833566125464745,-0.001828753188521465,-0.006298049131182332,-0.005464317013845398,-0.005629327792843785,-0.002803370742027676,-0.0027975277400063216,-0.002980467926065869,-0.00659857077736656,-0.005277399273466732,-0.005834721462008285,-0.007818675548241054,-0.007428529268797033,-0.02003162946317884,-0.007122856337365154,-0.008288376977382763,-0.007135331662733595,-0.009056507288538115,-0.008232908239993775,-0.0049682450146523215,0.0007912731165858649,-0.002909889163425064,0.0008251772643558505,-0.010393451036426058,-0.005612601487801831,-0.006582211670561368,-0.005448245942224707,0.001489093072215165,-0.006843586272927583,-0.0030623791895122115,-0.006862244111922503,-0.006028639233066261,-0.008510970494150668,-0.00248255250114506,-0.010619748031216469,-0.0046269457928089,-0.005777987254259985
883,L00022443P00021639,50.86748872627022,6.060515355358205,22443,21639,195.63795649586484,192.03232,46.24118516329909,37.54728059270825,0.7450462896045746,0.5085335075855255,0.7561312298340421,-0.0011117880892714657,0.0005885691848110971,0.001448685184495705,0.0006953776055596818,18,0.0,0.009710258658951431,0.009039855687482723,0.011655935809356036,0.009629504502608036,0.00964637316616532,0.009834365367342056,0.009510757583650995,0.009648098591066951,0.008345068878625414,0.010337955933662924,0.01297101315041522,0.00671247317062054,0.01696625349174187,0.004525148994979751,0.010231078240837094,-0.0016799740446136638,0.009296944430908134,0.0044967193234242975,0.00874262796709082,0.005758396004877303,0.00627855871731436,0.006909871115017347,0.010051895352228371,0.008750665436800576,0.008524680844361778,0.006775397112994375,0.003030336765064364,0.008695846332835424,0.003836280423567243,0.003841610647238301,0.004419518807453124,0.007086799276323705,0.002079359897332627,-0.004400854734338308,0.005155183149028929,0.007618450440125149,0.00881162400055083,0.006015480069289252,0.006972373259721586,0.0036476753162516225,0.0065714110367951425,0.009244786815716577,-0.006805291681857975,0.013831630111251788,0.0013419978533340481,0.0014943288866685095,0.0064662607905524505,0.003758105657799592,0.0036902311176131774,0.0022245524914871885,0.00685328465768039,0.00496150541156243,0.0067003621302580705,0.006135754709108486,0.00710746640794264,0.0049096276724130096,0.0014795737444185204,0.003400495025404964,0.00804318116398995,-0.001337815822408132,0.007210363048932288,0.0048622673977215276,0.008935163125471997,0.006444124366448621
884,L00022443P00021641,50.867508652253505,6.060524181656749,22443,21641,189.51234653238498,192.3619,46.24111901144092,37.54710412558184,0.7950655114779431,0.6539614796638489,0.7896047509951926,-0.0016068402043006586,0.0004925663907083998,0.003600894889907725,-0.0009913781071750145,1,0.0,0.0052708664275833254,-0.0023392197034220073,0.012022022089820944,0.009313234577021028,0.006908249566320884,0.00803038146256995,0.013596083155115108,0.010479686449175152,0.012960282211993673,0.010142408012743341,0.012354723306865094,0.003843111571237778,0.003287625281719561,-0.0010013958964611195,-0.001916619681663813,0.00135979401137776,0.00453769274873751,0.0040222359967551,0.0032415246169995213,0.0045870346164710715,0.002237505224755656,0.006074143724154085,0.0030427798828728593,0.006859184268951669,0.007906796681299455,0.003912232143435461,-0.00010199377632878328,4.878558995993885e-06,-0.0011721357761735284,-0.006423087356929132,0.0047212741651583255,0.0020459474886847513,-0.0014173495250004724,0.003143028646604048,0.0071515537556183706,0.0043831276143454535,0.0038630989358634437,0.0016283676075163885,0.0031101839078987717,0.00286485325484652,0.0010332957469373814,0.0007375571194126874,-0.002518973589699945,-0.0013472298162682216,-0.002601740289737925,-0.0004082179136322488,0.002455690489419509,0.005981715030122168,0.004400531268926284,0.006915867723364927,0.0006883345363354666,0.001388678805563457,0.0006761315389548898,0.001940114729500029,0.0011875428634744152,-0.003199521917022007,-0.007523033273918814,-0.0007378503359129296,0.00011727794444088313,-0.005854161900775398,-0.0010681356101115557,-0.002377445596400112,0.0028879758948175648,0.009757786881654629
885,L00022443P00021642,50.86751565659557,6.06058543718749,22443,21642,189.5228880743042,192.56947,46.24114411362637,37.54734768273129,0.7114062310742719,0.5634904205799103,0.7124473623261586,-0.0013872081900109072,-0.0001750796774513059,0.002992046375381501,-0.0011076720491735176,1,0.0,0.008705600193253595,-0.004463357450718287,0.01952254612710809,0.012661293500254186,0.015705583156490982,0.015146838850121809,-0.0015338249254767244,0.012519384657863822,0.017615686750971696,0.010303384003982308,0.0109439514601919,0.0005428516489112044,0.005797493926382172,-0.0023376839463423557,-0.00010644901572227562,0.003904856923771936,0.008999505482165413,0.008879945614691496,0.0064398385269593544,0.009142897888737952,0.004175452394009321,0.008731395842642506,0.005543375869705328,0.007337681738957078,0.012568487935974091,0.0085103587054717,0.0026422176861149514,0.006749431176324871,0.0042715245699688565,0.00038244796834543737,0.00691168470665235,0.003226249915556741,0.006312437439018224,0.006299646001822807,0.00833823697910602,0.00622770122942861,0.006452060476204801,0.005770840636017957,0.009602602046234976,0.008719699208661795,0.004832091287213264,0.0027441286491484145,0.0008747754033364702,0.004459184134378996,0.0048197143450846545,0.0012741002745446876,0.003473902307523704,0.006962531999850596,0.0067426415905650575,0.009368920496104018,0.002901346945088251,0.004598729976971094,0.003427270661307165,0.004165266151610672,0.006730114074952629,0.0013262321362034328,-0.003332907543119816,0.0007417868534491022,-0.0002890618130940981,-0.0017614662898309036,0.0018466155836515926,-0.0013909927143856068,0.006413144467942311,0.004511030043558355
