,rd_x,rd_y,lon,lat,Counts,wkt
0,-478.06095642071955,-478.06095642071955,3.3073285738544396,47.970356173982516,2.0,"POLYGON ((3.306678741648337 47.96989477966446,3.308015628481016 47.96991978738623,3.3079784180096152 47.97081756468112,3.306641507277965 47.97079255634189))"
1,-378.06095642071955,-478.06095642071955,3.308665473429066,47.97038117398023,5.0,"POLYGON ((3.308015628481016 47.96991978738623,3.3093525168985756 47.969944779042585,3.309315330326231 47.970842556954565,3.3079784180096152 47.97081756468112))"
2,-278.06095642071955,-478.06095642071955,3.3100023745881075,47.97040615791232,9.0,"POLYGON ((3.3093525168985756 47.969944779042585,3.310689406900003 47.96996975463353,3.3106522442267985 47.970867533162185,3.309315330326231 47.970842556954565))"
3,-178.06095642071955,-478.06095642071955,3.3113392773305543,47.970431125778774,11.0,"POLYGON ((3.310689406900003 47.96996975463353,3.312026298484286 47.96999471415901,3.311989159710305 47.97089249330396,3.3106522442267985 47.970867533162185))"
4,-78.06095642071955,-478.06095642071955,3.312676181655392,47.97045607757955,11.0,"POLYGON ((3.312026298484286 47.96999471415901,3.3133631916504114 47.97001965761897,3.3133260767757378 47.97091743737981,3.311989159710305 47.97089249330396))"
5,21.93904357928045,-478.06095642071955,3.3140130875616056,47.97048101331459,7.0,"POLYGON ((3.3133631916504114 47.97001965761897,3.314700086397368 47.97004458501339,3.314662995422084 47.97094236538973,3.3133260767757378 47.97091743737981))"
6,121.93904357928045,-478.06095642071955,3.3153499950481855,47.970505932983876,9.0,"POLYGON ((3.314700086397368 47.97004458501339,3.316036982724139 47.970069496342234,3.3159999156483297 47.97096727733368,3.314662995422084 47.97094236538973))"
7,221.93904357928045,-478.06095642071955,3.316686904114117,47.97053083658735,4.0,"POLYGON ((3.316036982724139 47.970069496342234,3.3173738806297157 47.970094391605436,3.3173368374534635 47.970992173211584,3.3159999156483297 47.97096727733368))"
8,321.93904357928045,-478.06095642071955,3.318023814758388,47.97055572412497,8.0,"POLYGON ((3.3173738806297157 47.970094391605436,3.3187107801130824 47.970119270802996,3.3186737608364716 47.971017053023445,3.3173368374534635 47.970992173211584))"
9,421.93904357928045,-478.06095642071955,3.319360726979986,47.97058059559673,7.0,"POLYGON ((3.3187107801130824 47.970119270802996,3.320047681173228 47.97014413393483,3.3200106857963414 47.9710419167692,3.3186737608364716 47.971017053023445))"
10,521.9390435792805,-478.06095642071955,3.3206976407778965,47.97060545100256,3.0,"POLYGON ((3.320047681173228 47.97014413393483,3.3213845838091385 47.97016898100093,3.321347612332059 47.97106676444883,3.3200106857963414 47.9710419167692))"
11,-478.06095642071955,-378.06095642071955,3.3072913506399915,47.971253951145115,6.0,"POLYGON ((3.306641507277965 47.97079255634189,3.3079784180096152 47.97081756468112,3.3079412059515976 47.97171534232877,3.3066042713199613 47.97169033337204))"
12,-378.06095642071955,-378.06095642071955,3.3086282741141395,47.97127895176012,6.0,"POLYGON ((3.3079784180096152 47.97081756468112,3.309315330326231 47.970842556954565,3.3092781421682838 47.971740335219316,3.3079412059515976 47.97171534232877))"
13,-278.06095642071955,-378.06095642071955,3.309965199172785,47.97130393630909,8.0,"POLYGON ((3.309315330326231 47.970842556954565,3.3106522442267985 47.970867533162185,3.3106150799690046 47.971765312043644,3.3092781421682838 47.971740335219316))"
14,-178.06095642071955,-378.06095642071955,3.3113021258149202,47.97132890479204,5.0,"POLYGON ((3.3106522442267985 47.970867533162185,3.311989159710305 47.97089249330396,3.3119520193527485 47.97179027280172,3.3106150799690046 47.971765312043644))"
15,-78.06095642071955,-378.06095642071955,3.3126390540395296,47.97135385720892,4.0,"POLYGON ((3.311989159710305 47.97089249330396,3.3133260767757378 47.97091743737981,3.3132889603185025 47.971815217493486,3.3119520193527485 47.97179027280172))"
16,21.93904357928045,-378.06095642071955,3.3139759838456,47.97137879355966,7.0,"POLYGON ((3.3133260767757378 47.97091743737981,3.314662995422084 47.97094236538973,3.314625902865253 47.971840146118936,3.3132889603185025 47.971815217493486))"
17,121.93904357928045,-378.06095642071955,3.315312915232119,47.97140371384426,6.0,"POLYGON ((3.314662995422084 47.97094236538973,3.3159999156483297 47.97096727733368,3.315962846991987 47.971865058677984,3.314625902865253 47.971840146118936))"
18,221.93904357928045,-378.06095642071955,3.316649848198073,47.97142861806265,11.0,"POLYGON ((3.3159999156483297 47.97096727733368,3.3173368374534635 47.970992173211584,3.3172997926976926 47.971889955170624,3.315962846991987 47.971865058677984))"
19,321.93904357928045,-378.06095642071955,3.3179867827424503,47.97145350621479,6.0,"POLYGON ((3.3173368374534635 47.970992173211584,3.3186737608364716 47.971017053023445,3.3186367399813554 47.97191483559682,3.3172997926976926 47.971889955170624))"
20,421.93904357928045,-378.06095642071955,3.3193237188642377,47.97147837830068,5.0,"POLYGON ((3.3186737608364716 47.971017053023445,3.3200106857963414 47.9710419167692,3.319973688841963 47.97193969995651,3.3186367399813554 47.97191483559682))"
21,521.9390435792805,-378.06095642071955,3.3206606565624215,47.97150323432023,7.0,"POLYGON ((3.3200106857963414 47.9710419167692,3.321347612332059 47.97106676444883,3.321310639278503 47.97196454824968,3.319973688841963 47.97193969995651))"
22,-478.06095642071955,-278.06095642071955,3.307254125838377,47.9721517286604,6.0,"POLYGON ((3.3066042713199613 47.97169033337204,3.3079412059515976 47.97171534232877,3.307903992306879 47.97261312032906,3.3065670337742423 47.97258811075481))"
