,time,x,y,subsidence
0,0.0,-237.5642924421598,-505.71505919159955,0.0
1,0.0,-2.9323715363999554,-215.2183952130398,0.0
2,0.0,477.5044188896795,187.00775491111983,0.0
3,0.0,365.7749327440797,287.56429244215974,0.0
4,0.0,321.0831382858397,-114.66185768199989,0.0
5,0.0,108.79711460919987,376.9478813586396,0.0
6,0.0,-192.87249798391986,499.8503161187996,0.0
7,0.0,276.3913438275997,466.3314702751196,0.0
8,0.0,455.1585216605596,-58.79711460919998,0.0
9,0.0,-449.8503161187996,-349.2937785877597,0.0
10,0.0,164.6618576819999,-282.25608690039974,0.0
11,0.0,-304.60198412951974,-47.62416599463995,0.0
12,0.0,-393.9855730459997,455.1585216605596,0.0
13,0.0,-382.81262443143964,466.3314702751196,0.0
14,0.0,-192.87249798391986,220.5266007547998,0.0
15,0.0,555.7150591915995,-315.7749327440797,0.0
16,0.0,466.3314702751196,-2.9323715363999554,0.0
17,0.0,-170.52660075479986,242.87249798391974,0.0
18,0.0,421.6396758168796,499.8503161187996,0.0
19,0.0,97.62416599463995,-215.2183952130398,0.0
20,0.0,-259.9101896712798,-69.97006322375995,0.0
21,0.0,-349.2937785877597,-81.14301183831992,0.0
22,0.0,-36.45121738007998,242.87249798391974,0.0
23,0.0,-371.6396758168797,477.5044188896795,0.0
24,0.0,119.9700632237599,-472.1962133479196,0.0
25,0.0,-483.3691619624796,566.8880078061595,0.0
26,0.0,142.31596045287984,-92.31596045287995,0.0
27,0.0,-69.97006322375995,365.7749327440797,0.0
28,0.0,399.2937785877597,-472.1962133479196,0.0
29,0.0,41.75942292183993,309.9101896712797,0.0
30,12.0,-237.5642924421598,-505.71505919159955,0.0005718403510087451
31,12.0,-2.9323715363999554,-215.2183952130398,0.002825297809128
32,12.0,477.5044188896795,187.00775491111983,0.0004677474277955518
33,12.0,365.7749327440797,287.56429244215974,0.000953367445095326
34,12.0,321.0831382858397,-114.66185768199989,0.001412892041609366
35,12.0,108.79711460919987,376.9478813586396,0.0016652933884273118
36,12.0,-192.87249798391986,499.8503161187996,0.0007686223190984872
37,12.0,276.3913438275997,466.3314702751196,0.0007286573181592308
38,12.0,455.1585216605596,-58.79711460919998,0.0008016379129771717
39,12.0,-449.8503161187996,-349.2937785877597,0.0001417375993809773
40,12.0,164.6618576819999,-282.25608690039974,0.0018490196358615675
41,12.0,-304.60198412951974,-47.62416599463995,0.001221947137795877
42,12.0,-393.9855730459997,455.1585216605596,0.00046998686400560294
43,12.0,-382.81262443143964,466.3314702751196,0.000511868660462371
44,12.0,-192.87249798391986,220.5266007547998,0.0017316918146088381
45,12.0,555.7150591915995,-315.7749327440797,0.0003165692438150192
46,12.0,466.3314702751196,-2.9323715363999554,0.0010169512160663318
47,12.0,-170.52660075479986,242.87249798391974,0.0018570882771159975
48,12.0,421.6396758168796,499.8503161187996,0.0007757986897955068
49,12.0,97.62416599463995,-215.2183952130398,0.002427028807186215
50,12.0,-259.9101896712798,-69.97006322375995,0.00191045353756111
51,12.0,-349.2937785877597,-81.14301183831992,0.0013290634250457875
52,12.0,-36.45121738007998,242.87249798391974,0.0027449403830023087
53,12.0,-371.6396758168797,477.5044188896795,0.000651665863954328
54,12.0,119.9700632237599,-472.1962133479196,0.0009183874296950567
55,12.0,-483.3691619624796,566.8880078061595,6.257281909177372e-05
56,12.0,142.31596045287984,-92.31596045287995,0.003031890611974119
57,12.0,-69.97006322375995,365.7749327440797,0.001434097903146376
58,12.0,399.2937785877597,-472.1962133479196,0.0006770281964831482
59,12.0,41.75942292183993,309.9101896712797,0.001973549404442821
60,24.0,-237.5642924421598,-505.71505919159955,0.0012440962874962532
61,24.0,-2.9323715363999554,-215.2183952130398,0.004167041386090042
62,24.0,477.5044188896795,187.00775491111983,0.0022375522418053304
63,24.0,365.7749327440797,287.56429244215974,0.002327833504394568
64,24.0,321.0831382858397,-114.66185768199989,0.003065797322009023
65,24.0,108.79711460919987,376.9478813586396,0.003223197044965791
66,24.0,-192.87249798391986,499.8503161187996,0.0008308550472660771
67,24.0,276.3913438275997,466.3314702751196,0.0010954066171348815
68,24.0,455.1585216605596,-58.79711460919998,0.0017793991178340724
69,24.0,-449.8503161187996,-349.2937785877597,0.001730194316382625
70,24.0,164.6618576819999,-282.25608690039974,0.003782608324670072
71,24.0,-304.60198412951974,-47.62416599463995,0.003128224844595747
72,24.0,-393.9855730459997,455.1585216605596,0.001329535112838347
73,24.0,-382.81262443143964,466.3314702751196,0.0012958353749742372
74,24.0,-192.87249798391986,220.5266007547998,0.003605565208909943
75,24.0,555.7150591915995,-315.7749327440797,0.0008883735066240156
76,24.0,466.3314702751196,-2.9323715363999554,0.0022380403507725162
77,24.0,-170.52660075479986,242.87249798391974,0.0033144833804704334
78,24.0,421.6396758168796,499.8503161187996,0.001638225949891304
79,24.0,97.62416599463995,-215.2183952130398,0.0054696117105366
80,24.0,-259.9101896712798,-69.97006322375995,0.004527133670975323
81,24.0,-349.2937785877597,-81.14301183831992,0.0017163700738220967
82,24.0,-36.45121738007998,242.87249798391974,0.004967660259353264
83,24.0,-371.6396758168797,477.5044188896795,0.0012417941831675758
84,24.0,119.9700632237599,-472.1962133479196,0.0012172422931618085
85,24.0,-483.3691619624796,566.8880078061595,0.0008687577969968703
86,24.0,142.31596045287984,-92.31596045287995,0.005728103933302149
87,24.0,-69.97006322375995,365.7749327440797,0.0032797527671153907
88,24.0,399.2937785877597,-472.1962133479196,0.001405007873008859
89,24.0,41.75942292183993,309.9101896712797,0.0035075941243267847
